ZipCode,Name,ServiceArea,County,Desig,Frontier,Desig_NEW
97029,Grass Valley,Moro/Grass Valley,SHERMAN,Rural,F,Frontier
97033,Kent,Moro/Grass Valley,SHERMAN,Rural,F,Frontier
97039,Moro,Moro/Grass Valley,SHERMAN,Rural,F,Frontier
97050,Rufus,The Dalles,SHERMAN,Rural,F,Frontier
97065,Wasco,The Dalles,SHERMAN,Rural,F,Frontier
97620,Adel,Lakeview,LAKE,Rural,F,Frontier
97630,Lakeview,Lakeview,LAKE,Rural,F,Frontier
97635,New Pine Creek,Lakeview,LAKE,Rural,F,Frontier
97636,Paisley,Lakeview,LAKE,Rural,F,Frontier
97637,Plush,Lakeview,LAKE,Rural,F,Frontier
97638,Silver Lake,North Lake,LAKE,Rural,F,Frontier
97640,Summer Lake,Lakeview,LAKE,Rural,F,Frontier
97641,Christmas Valley,North Lake,LAKE,Rural,F,Frontier
97710,Fields,Burns,HARNEY,Rural,F,Frontier
97720,Burns,Burns,HARNEY,Rural,F,Frontier
97721,Princeton,Burns,HARNEY,Rural,F,Frontier
97722,Diamond,Burns,HARNEY,Rural,F,Frontier
97732,Crane,Burns,HARNEY,Rural,F,Frontier
97735,Fort Rock,North Lake,LAKE,Rural,F,Frontier
97736,Frenchglen,Burns,HARNEY,Rural,F,Frontier
97738,Hines,Burns,HARNEY,Rural,F,Frontier
97750,Mitchell,Fossil,WHEELER,Rural,F,Frontier
97758,Riley,Burns,HARNEY,Rural,F,Frontier
97812,Arlington,Arlington,GILLIAM,Rural,F,Frontier
97814,Baker City,Baker City,BAKER,Rural,F,Frontier
97817,Bates,John Day,GRANT,Rural,F,Frontier
97818,Boardman,Boardman,MORROW,Rural,F,Frontier
97819,Bridgeport,Baker City,BAKER,Rural,F,Frontier
97820,Canyon City,John Day,GRANT,Rural,F,Frontier
97823,Condon,Condon,GILLIAM,Rural,F,Frontier
97825,Dayville,John Day,GRANT,Rural,F,Frontier
97828,Enterprise,Wallowa/Enterprise,WALLOWA,Rural,F,Frontier
97830,Fossil,Fossil,WHEELER,Rural,F,Frontier
97833,Haines,Baker City,BAKER,Rural,F,Frontier
97834,Halfway,Halfway,BAKER,Rural,F,Frontier
97836,Heppner,Heppner,MORROW,Rural,F,Frontier
97837,Hereford,Baker City,BAKER,Rural,F,Frontier
97839,Lexington,Heppner,MORROW,Rural,F,Frontier
97840,Oxbow,Halfway,BAKER,Rural,F,Frontier
97842,Imnaha,Wallowa/Enterprise,WALLOWA,Rural,F,Frontier
97843,Ione,Heppner,MORROW,Rural,F,Frontier
97844,Irrigon,Irrigon,MORROW,Rural,F,Frontier
97845,John Day,John Day,GRANT,Rural,F,Frontier
97846,Joseph,Wallowa/Enterprise,WALLOWA,Rural,F,Frontier
97848,Kimberly,John Day,GRANT,Rural,F,Frontier
97856,Long Creek,John Day,GRANT,Rural,F,Frontier
97857,Lostine,Wallowa/Enterprise,WALLOWA,Rural,F,Frontier
97861,Mikkalo,Condon,GILLIAM,Rural,F,Frontier
97864,Monument,John Day,GRANT,Rural,F,Frontier
97865,Mount Vernon,John Day,GRANT,Rural,F,Frontier
97869,Prairie City,John Day,GRANT,Rural,F,Frontier
97870,Richland,Halfway,BAKER,Rural,F,Frontier
97873,Seneca,John Day,GRANT,Rural,F,Frontier
97874,Spray,Fossil,WHEELER,Rural,F,Frontier
97877,Sumpter,Baker City,BAKER,Rural,F,Frontier
97884,Unity,Baker City,BAKER,Rural,F,Frontier
97885,Wallowa,Wallowa/Enterprise,WALLOWA,Rural,F,Frontier
97901,Adrian,Nyssa,MALHEUR,Rural,F,Frontier
97902,Arock,Jordan Valley,MALHEUR,Rural,F,Frontier
97903,Brogan,Vale,MALHEUR,Rural,F,Frontier
97904,Drewsey,Burns,HARNEY,Rural,F,Frontier
97905,Durkee,Baker City,BAKER,Rural,F,Frontier
97906,Harper,Vale,MALHEUR,Rural,F,Frontier
97907,Huntington,Ontario,BAKER,Rural,F,Frontier
97908,Ironside,Vale,MALHEUR,Rural,F,Frontier
97909,Jamieson,Vale,MALHEUR,Rural,F,Frontier
97910,Jordan Valley,Jordan Valley,MALHEUR,Rural,F,Frontier
97911,Juntura,Vale,MALHEUR,Rural,F,Frontier
97913,Nyssa,Nyssa,MALHEUR,Rural,F,Frontier
97914,Ontario,Ontario,MALHEUR,Rural,F,Frontier
97917,Riverside,Burns,MALHEUR,Rural,F,Frontier
97918,Vale,Vale,MALHEUR,Rural,F,Frontier
97920,Westfall,Vale,MALHEUR,Rural,F,Frontier
97002,Aurora,Woodburn,MARION,Rural,,Rural
97003,Beaverton,Beaverton,WASHINGTON,Urban,,Urban
97004,Beavercreek,Oregon City,CLACKAMAS,Rural,,Rural
97005,Beaverton,Beaverton,WASHINGTON,Urban,,Urban
97006,Aloha,Beaverton,WASHINGTON,Urban,,Urban
97007,Aloha,Beaverton,WASHINGTON,Urban,,Urban
97008,Beaverton,Beaverton,WASHINGTON,Urban,,Urban
97009,Boring,Sandy,CLACKAMAS,Urban,,Urban
97011,Brightwood,Wemme,CLACKAMAS,Rural,,Rural
97013,Canby,Canby,CLACKAMAS,Rural,,Rural
97015,Clackamas,Oregon City,CLACKAMAS,Urban,,Urban
97017,Colton,Canby,CLACKAMAS,Rural,,Rural
97020,Donald,Woodburn,MARION,Rural,,Rural
97022,Eagle Creek,Sandy,CLACKAMAS,Rural,,Rural
97023,Estacada,Estacada,CLACKAMAS,Rural,,Rural
97026,Gervais,Woodburn,MARION,Rural,,Rural
97027,Gladstone,Milwaukie,CLACKAMAS,Urban,,Urban
97028,Government Camp,Wemme,CLACKAMAS,Rural,,Rural
97032,Hubbard,Woodburn,MARION,Rural,,Rural
97034,Lake Oswego,Lake Oswego,CLACKAMAS,Urban,,Urban
97035,Lake Oswego,Lake Oswego,CLACKAMAS,Urban,,Urban
97036,Marylhurst,Lake Oswego,CLACKAMAS,Urban,,Urban
97038,Molalla,Canby,CLACKAMAS,Rural,,Rural
97042,Mulino,Canby,CLACKAMAS,Rural,,Rural
97045,Oregon City,Oregon City,CLACKAMAS,Urban,,Urban
97049,Rhododendron,Wemme,CLACKAMAS,Rural,,Rural
97055,Sandy,Sandy,CLACKAMAS,Rural,,Rural
97062,Tualatin,Tigard,WASHINGTON,Urban,,Urban
97067,Welches,Wemme,CLACKAMAS,Rural,,Rural
97068,West Linn,Lake Oswego,CLACKAMAS,Urban,,Urban
97070,Wilsonville,Lake Oswego,CLACKAMAS,Urban,,Urban
97071,Woodburn,Woodburn,MARION,Rural,,Rural
97075,Beaverton,Beaverton,WASHINGTON,Urban,,Urban
97076,Beaverton PO Box,Beaverton,WASHINGTON,Urban,,Urban
97078,Beaverton,Beaverton,WASHINGTON,Urban,,Urban
97086,Happy Valley,Oregon City,CLACKAMAS,Urban,,Urban
97089,Damascus,Sandy,CLACKAMAS,Urban,,Urban
97106,Banks,Hillsboro/Forest Grove,WASHINGTON,Rural,,Rural
97109,Buxton,Hillsboro/Forest Grove,WASHINGTON,Rural,,Rural
97113,Cornelius,Hillsboro/Forest Grove,WASHINGTON,Urban,,Urban
97116,Forest Grove,Hillsboro/Forest Grove,WASHINGTON,Rural,,Rural
97117,Gales Creek,Hillsboro/Forest Grove,WASHINGTON,Rural,,Rural
97119,Gaston,Hillsboro/Forest Grove,WASHINGTON,Rural,,Rural
97123,Hillsboro,Hillsboro/Forest Grove,WASHINGTON,Urban,,Urban
97124,Hillsboro,Hillsboro/Forest Grove,WASHINGTON,Urban,,Urban
97125,Manning,Hillsboro/Forest Grove,WASHINGTON,Rural,,Rural
97133,North Plains,Hillsboro/Forest Grove,WASHINGTON,Rural,,Rural
97137,Saint Paul,Woodburn,MARION,Rural,,Rural
97140,Sherwood,Tigard,WASHINGTON,Urban,,Urban
97144,Timber,Hillsboro/Forest Grove,WASHINGTON,Rural,,Rural
97222,Milwaukie,Milwaukie,CLACKAMAS,Urban,,Urban
97223,Tigard,Tigard,WASHINGTON,Urban,,Urban
97224,Tigard,Tigard,WASHINGTON,Urban,,Urban
97225,Cedar Hills,Portland West,WASHINGTON,Urban,,Urban
97229,Portland,Portland West,WASHINGTON,Urban,,Urban
97267,Milwaukie,Milwaukie,CLACKAMAS,Urban,,Urban
97301,Salem,Salem South,MARION,Urban,,Urban
97302,Salem,Salem South,MARION,Urban,,Urban
97303,Keizer,Salem North,MARION,Urban,,Urban
97305,Salem,Salem North,MARION,Urban,,Urban
97306,Salem,Salem South,MARION,Urban,,Urban
97307,Keizer PO,Salem North,MARION,Urban,,Urban
97308,Salem,Salem South,MARION,Urban,,Urban
97309,Salem,Salem South,MARION,Urban,,Urban
97310,Salem,Salem South,MARION,Urban,,Urban
97317,Salem,Salem South,MARION,Urban,,Urban
97321,Albany,Albany,LINN,Urban,,Urban
97322,Albany,Albany,LINN,Urban,,Urban
97324,Alsea,Alsea,BENTON,Rural,,Rural
97325,Aumsville,Salem South,MARION,Rural,,Rural
97327,Brownsville,Brownsville,LINN,Rural,,Rural
97329,Cascadia,Sweet Home,LINN,Rural,,Rural
97330,Corvallis,Corvallis/Philomath,BENTON,Urban,,Urban
97331,Corvallis,Corvallis/Philomath,BENTON,Urban,,Urban
97333,Corvallis,Corvallis/Philomath,BENTON,Urban,,Urban
97335,Crabtree,Scio,LINN,Rural,,Rural
97336,Crawfordsville,Sweet Home,LINN,Rural,,Rural
97339,Corvallis,Corvallis/Philomath,BENTON,Urban,,Urban
97342,Detroit,Detroit,MARION,Rural,,Rural
97345,Foster,Sweet Home,LINN,Rural,,Rural
97346,Gates,Mill City/Gates,MARION,Rural,,Rural
97348,Halsey,Brownsville,LINN,Rural,,Rural
97350,Idanha,Detroit,MARION,Rural,,Rural
97352,Jefferson,Albany,MARION,Urban,,Urban
97355,Lebanon,Lebanon,LINN,Rural,,Rural
97358,Lyons,Stayton,LINN,Rural,,Rural
97359,Marion,Albany,MARION,Urban,,Urban
97360,Mill City,Mill City/Gates,LINN,Rural,,Rural
97362,Mount Angel,Silverton/Mt. Angel,MARION,Rural,,Rural
97370,Philomath,Corvallis/Philomath,BENTON,Urban,,Urban
97373,Saint Benedict,Silverton/Mt. Angel,MARION,Rural,,Rural
97374,Scio,Scio,LINN,Rural,,Rural
97375,Scotts Mills,Silverton/Mt. Angel,MARION,Rural,,Rural
97377,Shedd,Albany,LINN,Rural,,Rural
97381,Silverton,Silverton/Mt. Angel,MARION,Rural,,Rural
97383,Stayton,Stayton,MARION,Rural,,Rural
97384,Mehama,Mill City/Gates,MARION,Rural,,Rural
97385,Sublimity,Stayton,MARION,Rural,,Rural
97386,Sweet Home,Sweet Home,LINN,Rural,,Rural
97389,Tangent,Albany,LINN,Urban,,Urban
97392,Turner,Salem South,MARION,Urban,,Urban
97401,Eugene,Eugene/University,LANE,Urban,,Urban
97402,Eugene,Eugene West,LANE,Urban,,Urban
97403,Eugene,Eugene/University,LANE,Urban,,Urban
97404,Eugene,Eugene West,LANE,Urban,,Urban
97405,Eugene,Eugene South,LANE,Urban,,Urban
97408,Eugene,Eugene/University,LANE,Urban,,Urban
97409,Alvadore,Eugene West,LANE,Urban,,Urban
97412,Blachly,Swisshome/Triangle Lake,LANE,Rural,,Rural
97413,Blue River,McKenzie/Blue River,LANE,Rural,,Rural
97419,Cheshire,Junction City,LANE,Rural,,Rural
97424,Cottage Grove,Cottage Grove,LANE,Rural,,Rural
97426,Creswell,Eugene South,LANE,Urban,,Urban
97430,Deadwood,Swisshome/Triangle Lake,LANE,Rural,,Rural
97431,Dexter,Lowell/Dexter,LANE,Rural,,Rural
97434,Dorena,Cottage Grove,LANE,Rural,,Rural
97437,Elmira,Veneta,LANE,Rural,,Rural
97438,Fall Creek,Lowell/Dexter,LANE,Rural,,Rural
97439,Florence,Florence,LANE,Rural,,Rural
97440,Eugene,Eugene West,LANE,Urban,,Urban
97446,Harrisburg,Harrisburg,LINN,Rural,,Rural
97448,Junction City,Junction City,LANE,Rural,,Rural
97451,Lorane,Cottage Grove,LANE,Rural,,Rural
97452,Lowell,Lowell/Dexter,LANE,Rural,,Rural
97453,Mapleton,Florence,LANE,Rural,,Rural
97454,Marcola,Springfield,LANE,Rural,,Rural
97455,Pleasant Hill,Eugene South,LANE,Urban,,Urban
97456,Monroe,Monroe,BENTON,Rural,,Rural
97461,Noti,Veneta,LANE,Rural,,Rural
97463,Oakridge,Oakridge,LANE,Rural,,Rural
97475,Springfield,Springfield,LANE,Urban,,Urban
97477,Springfield,Springfield,LANE,Urban,,Urban
97478,Springfield,Springfield,LANE,Urban,,Urban
97480,Swisshome,Swisshome/Triangle Lake,LANE,Rural,,Rural
97487,Veneta,Veneta,LANE,Rural,,Rural
97488,Vida,McKenzie/Blue River,LANE,Rural,,Rural
97489,Walterville,Springfield,LANE,Rural,,Rural
97490,Walton,Veneta,LANE,Rural,,Rural
97492,Westfir,Oakridge,LANE,Rural,,Rural
97493,Westlake,Florence,LANE,Rural,,Rural
97501,Medford,Medford,JACKSON,Urban,,Urban
97502,Central Point,Medford,JACKSON,Urban,,Urban
97503,White City,Medford,JACKSON,Urban,,Urban
97504,Medford,Medford,JACKSON,Urban,,Urban
97520,Ashland,Ashland,JACKSON,Rural,,Rural
97522,Butte Falls,Eagle Point,JACKSON,Rural,,Rural
97524,Eagle Point,Eagle Point,JACKSON,Rural,,Rural
97525,Gold Hill,Rogue River,JACKSON,Rural,,Rural
97530,Jacksonville,Applegate/Williams,JACKSON,Rural,,Rural
97535,Phoenix,Phoenix/Talent,JACKSON,Urban,,Urban
97536,Prospect,Shady Cove,JACKSON,Rural,,Rural
97537,Rogue River,Rogue River,JACKSON,Rural,,Rural
97539,Shady Cove,Shady Cove,JACKSON,Rural,,Rural
97540,Talent,Phoenix/Talent,JACKSON,Urban,,Urban
97541,Trail,Shady Cove,JACKSON,Rural,,Rural
97701,Bend,Bend,DESCHUTES,Urban,,Urban
97702,Bend,Bend,DESCHUTES,Urban,,Urban
97707,Bend,Bend,DESCHUTES,Rural,,Rural
97708,Bend,Bend,DESCHUTES,Urban,,Urban
97709,Bend,Bend,DESCHUTES,Urban,,Urban
97712,Brothers,Bend,DESCHUTES,Rural,,Rural
97739,La Pine,La Pine,DESCHUTES,Rural,,Rural
97756,Redmond,Redmond,DESCHUTES,Rural,,Rural
97759,Sisters,Sisters,DESCHUTES,Rural,,Rural
